2.0000000000 0.0e0 6.62e-2 6.62e-2
2.0000000000 1.0e0 1.302e-1 1.302e-1
2.0000000000 2.0e0 1.311e-1 1.311e-1
2.0000000000 3.0e0 3.794e-1 3.794e-1
2.0000000000 4.0e0 3.465e-1 3.465e-1
2.0000000000 5.0e0 4.348e-1 4.348e-1
2.0000000000 6.0e0 4.676e-1 4.676e-1
2.0000000000 7.0e0 4.635e-1 4.635e-1
2.0000000000 8.0e0 4.498e-1 4.498e-1
2.0000000000 9.0e0 4.328e-1 4.328e-1
2.0000000000 1.0e1 4.132e-1 4.132e-1

3.0000000000 0.0e0 9.08e-2 9.08e-2
3.0000000000 1.0e0 0.0e0 0.0e0
3.0000000000 2.0e0 4.066e-1 4.066e-1
3.0000000000 3.0e0 4.284e-1 4.284e-1
3.0000000000 4.0e0 3.546e-1 3.546e-1
3.0000000000 5.0e0 3.0e-1 3.0e-1
3.0000000000 6.0e0 3.855e-1 3.855e-1
3.0000000000 7.0e0 3.333e-1 3.333e-1
3.0000000000 8.0e0 3.712e-1 3.712e-1
3.0000000000 9.0e0 3.909e-1 3.909e-1
3.0000000000 1.0e1 4.272e-1 4.272e-1

4.0000000000 0.0e0 4.441e-1 4.441e-1
4.0000000000 1.0e0 2.415e-1 2.415e-1
4.0000000000 2.0e0 3.785e-1 3.785e-1
4.0000000000 3.0e0 6.698e-1 6.698e-1
4.0000000000 4.0e0 5.22e-1 5.22e-1
4.0000000000 5.0e0 6.307e-1 6.307e-1
4.0000000000 6.0e0 6.631e-1 6.631e-1
4.0000000000 7.0e0 7.31e-1 7.31e-1
4.0000000000 8.0e0 5.53e-1 5.53e-1
4.0000000000 9.0e0 6.266e-1 6.266e-1
4.0000000000 1.0e1 6.972e-1 6.972e-1

5.0000000000 0.0e0 3.698e-1 3.698e-1
5.0000000000 1.0e0 3.525e-1 3.525e-1
5.0000000000 2.0e0 4.21e-1 4.21e-1
5.0000000000 3.0e0 6.124e-1 6.124e-1
5.0000000000 4.0e0 5.131e-1 5.131e-1
5.0000000000 5.0e0 4.869e-1 4.869e-1
5.0000000000 6.0e0 4.313e-1 4.313e-1
5.0000000000 7.0e0 5.678e-1 5.678e-1
5.0000000000 8.0e0 4.993e-1 4.993e-1
5.0000000000 9.0e0 5.564e-1 5.564e-1
5.0000000000 1.0e1 5.891e-1 5.891e-1

6.0000000000 0.0e0 3.65e-1 3.65e-1
6.0000000000 1.0e0 1.935e-1 1.935e-1
6.0000000000 2.0e0 3.932e-1 3.932e-1
6.0000000000 3.0e0 5.969e-1 5.969e-1
6.0000000000 4.0e0 5.35e-1 5.35e-1
6.0000000000 5.0e0 6.62e-1 6.62e-1
6.0000000000 6.0e0 5.891e-1 5.891e-1
6.0000000000 7.0e0 6.296e-1 6.296e-1
6.0000000000 8.0e0 6.103e-1 6.103e-1
6.0000000000 9.0e0 6.455e-1 6.455e-1
6.0000000000 1.0e1 6.502e-1 6.502e-1

7.0000000000 0.0e0 3.432e-1 3.432e-1
7.0000000000 1.0e0 2.479e-1 2.479e-1
7.0000000000 2.0e0 3.416e-1 3.416e-1
7.0000000000 3.0e0 4.34e-1 4.34e-1
7.0000000000 4.0e0 4.856e-1 4.856e-1
7.0000000000 5.0e0 5.924e-1 5.924e-1
7.0000000000 6.0e0 6.181e-1 6.181e-1
7.0000000000 7.0e0 5.44e-1 5.44e-1
7.0000000000 8.0e0 5.923e-1 5.923e-1
7.0000000000 9.0e0 5.753e-1 5.753e-1
7.0000000000 1.0e1 6.001e-1 6.001e-1

8.0000000000 0.0e0 4.157e-1 4.157e-1
8.0000000000 1.0e0 2.725e-1 2.725e-1
8.0000000000 2.0e0 5.46e-1 5.46e-1
8.0000000000 3.0e0 5.025e-1 5.025e-1
8.0000000000 4.0e0 6.205e-1 6.205e-1
8.0000000000 5.0e0 5.964e-1 5.964e-1
8.0000000000 6.0e0 6.218e-1 6.218e-1
8.0000000000 7.0e0 6.621e-1 6.621e-1
8.0000000000 8.0e0 6.503e-1 6.503e-1
8.0000000000 9.0e0 6.475e-1 6.475e-1
8.0000000000 1.0e1 6.826e-1 6.826e-1

9.0000000000 0.0e0 3.743e-1 3.743e-1
9.0000000000 1.0e0 4.059e-1 4.059e-1
9.0000000000 2.0e0 4.426e-1 4.426e-1
9.0000000000 3.0e0 5.604e-1 5.604e-1
9.0000000000 4.0e0 6.563e-1 6.563e-1
9.0000000000 5.0e0 6.396e-1 6.396e-1
9.0000000000 6.0e0 6.395e-1 6.395e-1
9.0000000000 7.0e0 6.254e-1 6.254e-1
9.0000000000 8.0e0 6.67e-1 6.67e-1
9.0000000000 9.0e0 6.416e-1 6.416e-1
9.0000000000 1.0e1 6.639e-1 6.639e-1

10.000000000 0.0e0 2.86e-1 2.86e-1
10.000000000 1.0e0 2.016e-1 2.016e-1
10.000000000 2.0e0 6.551e-1 6.551e-1
10.000000000 3.0e0 5.428e-1 5.428e-1
10.000000000 4.0e0 5.932e-1 5.932e-1
10.000000000 5.0e0 5.966e-1 5.966e-1
10.000000000 6.0e0 6.089e-1 6.089e-1
10.000000000 7.0e0 6.334e-1 6.334e-1
10.000000000 8.0e0 6.462e-1 6.462e-1
10.000000000 9.0e0 6.561e-1 6.561e-1
10.000000000 1.0e1 6.992e-1 6.992e-1

11.000000000 0.0e0 4.137e-1 4.137e-1
11.000000000 1.0e0 3.799e-1 3.799e-1
